code,ABK,ACI,AD,AE,AF,AFN,AG,AI,AL,ALA,AM,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BEN2,BF,BG,BH,BI,BIA,BIR,BJ,BL,BM,BN,BO,BOP,BOU,BR,BS,BT,BTL,BW,BY,BZ,CA,CAB,CD,CF,CG,CH,CHR,CI,CIS,CK,CL,CM,CN,CO,COC,CR,CRI,CU,CV,CW,CY,CYR,CZ,DE,DJ,DK,DM,DO,DZ,EC,EDE,EE,EG,EH,ER,ES,ET,FEA,FI,FJ,FK,FM,FO,FR,FWA,FZN,GA,GAG,GB,GD,GE,GG,GH,GL,GM,GN,GOA,GQ,GR,GS,GT,GU,GW,GY,HAL,HAW,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,ISIS,IT,JE,JM,JO,JP,KAT,KE,KG,KH,KI,KM,KN,KOS,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NAN,NC,NCY,NE,NF,NG,NI,NKR,NL,NO,NP,NR,NU,NVR,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PUN,PW,PY,QA,RAK,RIM,RO,RS,RU,RW,RYU,SA,SAA,SAB,SAR,SB,SC,SCM,SD,SE,SG,SH,SI,SIK,SK,SKN,SL,SM,SML,SMO,SN,SO,SO2,SOT,SR,SS,ST,SUV,SV,SVN,SX,SY,SYE,SZ,TAN,TIB,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TRA,TRN,TT,TV,TW,TZ,UA,UG,UNA,US,UY,UZ,VA,VC,VE,VEN,VG,VI,VN,VU,WF,WPG,WS,YE,ZA,ZAN,ZM,ZW
2014_07,http://en.wikipedia.org/wiki/Abkhazia,http://en.wikipedia.org/wiki/Ashmore_and_Cartier_Islands,http://en.wikipedia.org/wiki/Andorra,http://en.wikipedia.org/wiki/United_Arab_Emirates,http://en.wikipedia.org/wiki/Afghanistan,,http://en.wikipedia.org/wiki/Antigua_and_Barbuda,http://en.wikipedia.org/wiki/Anguilla,http://en.wikipedia.org/wiki/Albania,,http://en.wikipedia.org/wiki/Armenia,http://en.wikipedia.org/wiki/Angola,http://en.wikipedia.org/wiki/Antarctica,http://en.wikipedia.org/wiki/Argentina,http://en.wikipedia.org/wiki/American_Samoa,http://en.wikipedia.org/wiki/Austria,http://en.wikipedia.org/wiki/Australia,http://en.wikipedia.org/wiki/Aruba,http://en.wikipedia.org/wiki/Aland,http://en.wikipedia.org/wiki/Azerbaijan,http://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,http://en.wikipedia.org/wiki/Barbados,http://en.wikipedia.org/wiki/Bangladesh,http://en.wikipedia.org/wiki/Belgium,,http://en.wikipedia.org/wiki/Burkina_Faso,http://en.wikipedia.org/wiki/Bulgaria,http://en.wikipedia.org/wiki/Bahrain,http://en.wikipedia.org/wiki/Burundi,,http://en.wikipedia.org/wiki/Bir_Tawil,http://en.wikipedia.org/wiki/Benin,http://en.wikipedia.org/wiki/St_barthelemy,http://en.wikipedia.org/wiki/Bermuda,http://en.wikipedia.org/wiki/Brunei,http://en.wikipedia.org/wiki/Bolivia,,,http://en.wikipedia.org/wiki/Brazil,http://en.wikipedia.org/wiki/Bahamas,http://en.wikipedia.org/wiki/Bhutan,,http://en.wikipedia.org/wiki/Botswana,http://en.wikipedia.org/wiki/Belarus,http://en.wikipedia.org/wiki/Belize,http://en.wikipedia.org/wiki/Canada,,http://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,http://en.wikipedia.org/wiki/Central_African_Republic,http://en.wikipedia.org/wiki/Congo,http://en.wikipedia.org/wiki/Switzerland,http://en.wikipedia.org/wiki/Christmas_island,http://en.wikipedia.org/wiki/Ivory_Coast,,http://en.wikipedia.org/wiki/Cook_Islands,http://en.wikipedia.org/wiki/Chile,http://en.wikipedia.org/wiki/Cameroon,http://en.wikipedia.org/wiki/China,http://en.wikipedia.org/wiki/Colombia,http://en.wikipedia.org/wiki/Cocos_Islands,http://en.wikipedia.org/wiki/Costa_Rica,http://en.wikipedia.org/wiki/Republic_of_Crimea,http://en.wikipedia.org/wiki/Cuba,http://en.wikipedia.org/wiki/Cape_Verde,http://en.wikipedia.org/wiki/Curacao,http://en.wikipedia.org/wiki/Cyprus,,http://en.wikipedia.org/wiki/Czech_Republic,http://en.wikipedia.org/wiki/Germany,http://en.wikipedia.org/wiki/Djibouti,http://en.wikipedia.org/wiki/Denmark,http://en.wikipedia.org/wiki/Dominica,http://en.wikipedia.org/wiki/Dominican_Republic,http://en.wikipedia.org/wiki/Algeria,http://en.wikipedia.org/wiki/Ecuador,,http://en.wikipedia.org/wiki/Estonia,http://en.wikipedia.org/wiki/Egypt,http://en.wikipedia.org/wiki/Sahrawi_Arab_Democratic_Republic,http://en.wikipedia.org/wiki/Eritrea,http://en.wikipedia.org/wiki/Spain,http://en.wikipedia.org/wiki/Ethiopia,,http://en.wikipedia.org/wiki/Finland,http://en.wikipedia.org/wiki/Fiji,http://en.wikipedia.org/wiki/Falkland_Islands,http://en.wikipedia.org/wiki/Micronesia,http://en.wikipedia.org/wiki/Faeroe_Islands,http://en.wikipedia.org/wiki/France,,,http://en.wikipedia.org/wiki/Gabon,,http://en.wikipedia.org/wiki/United_Kingdom,http://en.wikipedia.org/wiki/Grenada,http://en.wikipedia.org/wiki/Georgia,http://en.wikipedia.org/wiki/Guernsey,http://en.wikipedia.org/wiki/Ghana,http://en.wikipedia.org/wiki/Greenland,http://en.wikipedia.org/wiki/Gambia,http://en.wikipedia.org/wiki/Guinea,,http://en.wikipedia.org/wiki/Equatorial_Guinea,http://en.wikipedia.org/wiki/Greece,http://en.wikipedia.org/wiki/South_Georgia_and_the_South_Sandwich_Islands,http://en.wikipedia.org/wiki/Guatemala,http://en.wikipedia.org/wiki/Guam,http://en.wikipedia.org/wiki/Guinea-Bissau,http://en.wikipedia.org/wiki/Guyana,http://en.wikipedia.org/wiki/Hala%27ib_Triangle,,http://en.wikipedia.org/wiki/Hong_Kong,http://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands,http://en.wikipedia.org/wiki/Honduras,http://en.wikipedia.org/wiki/Croatia,http://en.wikipedia.org/wiki/Haiti,http://en.wikipedia.org/wiki/Hungary,http://en.wikipedia.org/wiki/Indonesia,http://en.wikipedia.org/wiki/Ireland,http://en.wikipedia.org/wiki/Israel,http://en.wikipedia.org/wiki/Isle_of_Man,http://en.wikipedia.org/wiki/India,http://en.wikipedia.org/wiki/British_Indian_Ocean_Territory,http://en.wikipedia.org/wiki/Iraq,http://en.wikipedia.org/wiki/Iran,http://en.wikipedia.org/wiki/Iceland,http://en.wikipedia.org/wiki/Islamic_State_of_Iraq_and_the_Levant,http://en.wikipedia.org/wiki/Italy,http://en.wikipedia.org/wiki/Jersey,http://en.wikipedia.org/wiki/Jamaica,http://en.wikipedia.org/wiki/Jordan,http://en.wikipedia.org/wiki/Japan,,http://en.wikipedia.org/wiki/Kenya,http://en.wikipedia.org/wiki/Kyrgyzstan,http://en.wikipedia.org/wiki/Cambodia,http://en.wikipedia.org/wiki/Kiribati,http://en.wikipedia.org/wiki/Comoros,http://en.wikipedia.org/wiki/St._Kitts_and_Nevis,http://en.wikipedia.org/wiki/Kosovo,http://en.wikipedia.org/wiki/North_Korea,http://en.wikipedia.org/wiki/South_Korea,http://en.wikipedia.org/wiki/Kuwait,http://en.wikipedia.org/wiki/Cayman_Islands,http://en.wikipedia.org/wiki/Kazakhstan,http://en.wikipedia.org/wiki/Laos,http://en.wikipedia.org/wiki/Lebanon,http://en.wikipedia.org/wiki/Saint_Lucia,http://en.wikipedia.org/wiki/Liechtenstein,http://en.wikipedia.org/wiki/Sri_Lanka,http://en.wikipedia.org/wiki/Liberia,http://en.wikipedia.org/wiki/Lesotho,http://en.wikipedia.org/wiki/Lithuania,http://en.wikipedia.org/wiki/Luxembourg,http://en.wikipedia.org/wiki/Latvia,http://en.wikipedia.org/wiki/Libya,http://en.wikipedia.org/wiki/Morocco,http://en.wikipedia.org/wiki/Monaco,http://en.wikipedia.org/wiki/Moldova,http://en.wikipedia.org/wiki/Montenegro,http://en.wikipedia.org/wiki/St-Martin,http://en.wikipedia.org/wiki/Madagascar,http://en.wikipedia.org/wiki/Marshall_Islands,http://en.wikipedia.org/wiki/Macedonia,http://en.wikipedia.org/wiki/Mali,http://en.wikipedia.org/wiki/Myanmar,http://en.wikipedia.org/wiki/Mongolia,http://en.wikipedia.org/wiki/Macau,http://en.wikipedia.org/wiki/Northern_Mariana_Islands,http://en.wikipedia.org/wiki/Mauritania,http://en.wikipedia.org/wiki/Montserrat,http://en.wikipedia.org/wiki/Malta,http://en.wikipedia.org/wiki/Mauritius,http://en.wikipedia.org/wiki/Maldives,http://en.wikipedia.org/wiki/Malawi,http://en.wikipedia.org/wiki/Mexico,http://en.wikipedia.org/wiki/Malaysia,http://en.wikipedia.org/wiki/Mozambique,http://en.wikipedia.org/wiki/Namibia,,http://en.wikipedia.org/wiki/New_Caledonia,http://en.wikipedia.org/wiki/North_Cyprus,http://en.wikipedia.org/wiki/Niger,http://en.wikipedia.org/wiki/Norfolk_Island,http://en.wikipedia.org/wiki/Nigeria,http://en.wikipedia.org/wiki/Nicaragua,http://en.wikipedia.org/wiki/Nagorno-Karabakh_Republic,http://en.wikipedia.org/wiki/Netherlands,http://en.wikipedia.org/wiki/Norway,http://en.wikipedia.org/wiki/Nepal,http://en.wikipedia.org/wiki/Nauru,http://en.wikipedia.org/wiki/Niue,http://en.wikipedia.org/wiki/Federal_State_of_Novorossiya,http://en.wikipedia.org/wiki/New_Zealand,http://en.wikipedia.org/wiki/Oman,http://en.wikipedia.org/wiki/Panama,http://en.wikipedia.org/wiki/Peru,http://en.wikipedia.org/wiki/French_Polynesia,http://en.wikipedia.org/wiki/Papua_New_Guinea,http://en.wikipedia.org/wiki/Philippines,http://en.wikipedia.org/wiki/Pakistan,http://en.wikipedia.org/wiki/Poland,http://en.wikipedia.org/wiki/St._Pierre_and_Miquelon,http://en.wikipedia.org/wiki/Pitcairn_Islands,http://en.wikipedia.org/wiki/Puerto_Rico,http://en.wikipedia.org/wiki/Palestine,http://en.wikipedia.org/wiki/Portugal,,http://en.wikipedia.org/wiki/Palau,http://en.wikipedia.org/wiki/Paraguay,http://en.wikipedia.org/wiki/Qatar,,,http://en.wikipedia.org/wiki/Romania,http://en.wikipedia.org/wiki/Serbia,http://en.wikipedia.org/wiki/Russia,http://en.wikipedia.org/wiki/Rwanda,,http://en.wikipedia.org/wiki/Saudi_Arabia,,,,http://en.wikipedia.org/wiki/Solomon_Islands,http://en.wikipedia.org/wiki/Seychelles,,http://en.wikipedia.org/wiki/Sudan,http://en.wikipedia.org/wiki/Sweden,http://en.wikipedia.org/wiki/Singapore,http://en.wikipedia.org/wiki/Saint_Helena,http://en.wikipedia.org/wiki/Slovenia,,http://en.wikipedia.org/wiki/Slovakia,,http://en.wikipedia.org/wiki/Sierra_Leone,http://en.wikipedia.org/wiki/San_Marino,,,http://en.wikipedia.org/wiki/Senegal,http://en.wikipedia.org/wiki/Somalia,http://en.wikipedia.org/wiki/Somaliland,http://en.wikipedia.org/wiki/South_Ossetia,http://en.wikipedia.org/wiki/Suriname,http://en.wikipedia.org/wiki/South_Sudan,http://en.wikipedia.org/wiki/Sao_Tome_and_Principe,,http://en.wikipedia.org/wiki/El_Salvador,,http://en.wikipedia.org/wiki/Sint_Maarten,http://en.wikipedia.org/wiki/Syria,,http://en.wikipedia.org/wiki/Swaziland,,,http://en.wikipedia.org/wiki/Turks_and_Caicos_Islands,http://en.wikipedia.org/wiki/Chad,http://en.wikipedia.org/wiki/French_South_Antarctic_Lands,http://en.wikipedia.org/wiki/Togo,http://en.wikipedia.org/wiki/Thailand,http://en.wikipedia.org/wiki/Tajikistan,http://en.wikipedia.org/wiki/East_Timor,http://en.wikipedia.org/wiki/Turkmenistan,http://en.wikipedia.org/wiki/Tunisia,http://en.wikipedia.org/wiki/Tonga,http://en.wikipedia.org/wiki/Turkey,http://en.wikipedia.org/wiki/Transnistria,,http://en.wikipedia.org/wiki/Trinidad_and_Tobago,http://en.wikipedia.org/wiki/Tuvalu,http://en.wikipedia.org/wiki/Taiwan,http://en.wikipedia.org/wiki/Tanzania,http://en.wikipedia.org/wiki/Ukraine,http://en.wikipedia.org/wiki/Uganda,http://en.wikipedia.org/wiki/United_Nations,http://en.wikipedia.org/wiki/United_States,http://en.wikipedia.org/wiki/Uruguay,http://en.wikipedia.org/wiki/Uzbekistan,http://en.wikipedia.org/wiki/Vatican,http://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,http://en.wikipedia.org/wiki/Venezuela,,http://en.wikipedia.org/wiki/British_Virgin_Islands,http://en.wikipedia.org/wiki/U.S._Virgin_Islands,http://en.wikipedia.org/wiki/Vietnam,http://en.wikipedia.org/wiki/Vanuatu,http://en.wikipedia.org/wiki/Wallis_and_Futuna_Islands,,http://en.wikipedia.org/wiki/Samoa,http://en.wikipedia.org/wiki/Yemen,http://en.wikipedia.org/wiki/South_Africa,,http://en.wikipedia.org/wiki/Zambia,http://en.wikipedia.org/wiki/Zimbabwe
2014_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://en.wikipedia.org/wiki/Donetsk_People%27s_Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
